"","beta","r","logm1","logm2","sensrate","prop"
"235",0.416029,0.413944,1.30343,2.41487,0.155288,0.962181
"236",0.406612,0.316647,1.58383,1.67623,0.194036,0.970154
"237",0.453991,0.283317,1.41572,1.13427,0.190354,0.676998
"238",0.482525,0.377014,2.10552,1.75258,0.152462,0.980241
"239",0.410263,0.410423,2.10195,1.87148,0.148544,0.982091
"240",0.366558,0.330199,1.33939,0.997066,0.188463,0.951909
"241",0.366137,0.320177,1.01381,3.20263,0.203773,0.992135
"242",0.405767,0.18282,1.23399,6.47458,0.154319,0.948167
"243",0.415158,0.232962,1.12365,5.80828,0.145302,0.961458
"244",0.35548,0.13552,0.771212,3.51923,0.180449,0.983777
"245",0.401175,0.532762,2.48656,1.29821,0.143039,0.8608
"246",0.440505,0.397749,2.00192,1.96094,0.167979,0.937408
"247",0.496535,0.267998,1.54573,0.59213,0.155807,0.941677
"248",0.43825,0.22883,1.47131,1.58133,0.163627,0.884484
"249",0.385392,0.498354,1.6905,2.64555,0.145748,0.961116
"250",0.389135,0.415124,2.27329,4.01407,0.157998,0.972886
"251",0.478269,0.334809,1.55016,0.993677,0.16942,0.994341
"252",0.339688,0.418185,1.35392,5.32549,0.129664,0.844919
"253",0.447307,0.353248,2.15486,1.08962,0.183533,0.998714
"254",0.447307,0.353248,2.15486,1.08962,0.183533,0.998714
"255",0.415927,0.364454,2.39118,1.16767,0.155795,0.997318
"256",0.349066,0.271319,1.33357,2.38683,0.162172,0.72448
"257",0.456515,0.294402,2.34208,1.4071,0.155204,0.990003
"258",0.42063,0.298317,1.75297,1.61857,0.125265,0.979524
"259",0.421737,0.348564,1.09786,1.00474,0.162606,0.964704
"260",0.452651,0.230897,1.07077,0.996019,0.166951,0.95082
"261",0.309671,0.383505,1.11368,3.17341,0.157199,0.84451
"262",0.373088,0.42033,0.923698,2.20682,0.168408,0.765528
"263",0.429922,0.271412,1.25176,2.53988,0.146425,0.978326
"264",0.336346,0.317612,1.11377,2.3053,0.157971,0.832222
"265",0.487194,0.177297,2.61621,1.04198,0.139514,0.942853
"266",0.417216,0.379115,1.78324,2.08669,0.140228,0.999868
"267",0.304887,0.28882,0.915872,3.272,0.141352,0.918537
"268",0.304207,0.290302,0.870605,4.31445,0.139085,0.889532
"269",0.611507,0.228618,3.41087,1.62402,0.165581,0.92597
"270",0.472316,0.341947,1.67035,0.727075,0.170186,0.850889
"271",0.403196,0.397301,1.81921,1.57274,0.142488,0.985245
"272",0.403196,0.397301,1.81921,1.57274,0.142488,0.985245
"273",0.403327,0.360048,1.37513,1.78017,0.162919,0.896904
"274",0.409771,0.326423,2.18372,1.73926,0.18052,0.969845
"275",0.414588,0.275086,1.2055,1.47972,0.132701,0.82359
"276",0.422016,0.313244,2.14665,2.00989,0.176779,0.997163
"277",0.448229,0.345174,1.66912,1.34868,0.13374,0.981803
"278",0.430855,0.172488,1.63844,1.97496,0.156942,0.997427
"279",0.365987,0.550053,1.1546,1.3301,0.166245,0.709169
"280",0.370518,0.715299,1.51121,2.60276,0.201796,0.827814
"281",0.464183,0.202303,1.99311,5.3133,0.141279,0.996409
"282",0.398692,0.36108,1.71391,1.27901,0.157984,0.940768
"283",0.398692,0.36108,1.71391,1.27901,0.157984,0.940768
"284",0.375629,0.428715,1.79809,2.6758,0.127403,0.889645
"285",0.332849,0.431148,1.23434,2.67716,0.11834,0.902452
"286",0.349052,0.437616,1.30746,2.38177,0.118599,0.919135
"287",0.347334,0.44525,1.6613,2.22535,0.123514,0.95742
"288",0.369946,0.45529,1.30287,2.56242,0.156965,0.90787
"289",0.3476,0.399216,1.53662,1.15502,0.150702,0.93221
"290",0.4161,0.543103,1.7888,5.28101,0.173253,0.888421
"291",0.455807,0.424112,3.23953,4.29075,0.173935,0.863781
"292",0.391034,0.244515,0.617722,2.49204,0.137991,0.948967
"293",0.365802,0.447479,1.14233,1.86101,0.162666,0.995762
"294",0.35051,0.446759,1.41767,2.54553,0.175215,0.612388
"295",0.371779,0.412096,0.960597,1.3358,0.167912,0.989156
"296",0.371779,0.412096,0.960597,1.3358,0.167912,0.989156
"297",0.400614,0.663083,1.58914,1.52678,0.161701,0.926076
"298",0.426757,0.470331,1.6087,1.22062,0.153129,0.937353
"299",0.372016,0.352956,1.59001,1.31868,0.148841,0.972788
"300",0.474331,0.311158,2.09906,1.93853,0.161935,0.885063
"301",0.381991,0.261417,2.11651,2.39735,0.172205,0.912921
"302",0.397384,0.33495,1.5542,1.4782,0.182637,0.88062
"303",0.380593,0.68371,1.67659,1.97981,0.195163,0.794398
"304",0.368245,0.344613,1.40138,1.67946,0.153581,0.895353
"305",0.406397,0.334323,1.82698,1.81469,0.16771,0.956141
"306",0.459991,0.23123,1.50627,0.958556,0.211714,0.960445
"307",0.465543,0.0868223,1.2127,1.41323,0.181123,0.987831
"308",0.431716,0.0609512,1.00192,1.01465,0.180873,0.973385
"309",0.2965,0.634092,1.01461,1.92918,0.137501,0.941792
"310",0.424136,0.299943,1.39418,1.90795,0.134963,0.987707
"311",0.450662,0.370383,1.96533,1.9215,0.175486,0.865529
"312",0.369431,0.544455,2.0832,1.06975,0.157886,0.78193
"313",0.381913,0.47999,2.32233,1.08256,0.152297,0.874517
"314",0.377412,0.425113,1.86081,1.42732,0.154634,0.844396
"315",0.473383,0.322282,2.31359,3.13295,0.146804,0.96254
"316",0.409587,0.164165,1.66554,0.887566,0.128132,0.970374
"317",0.498161,0.472378,2.58081,1.04667,0.195297,0.921513
"318",0.507862,0.481415,2.77291,0.833881,0.197372,0.866975
"319",0.369745,0.373161,1.06946,3.09281,0.145717,0.999029
"320",0.368226,0.430967,1.36334,3.11394,0.153563,0.99941
"321",0.45333,0.223574,1.969,1.55587,0.194085,0.872815
"322",0.480926,0.180621,2.13135,1.05457,0.181513,0.892371
"323",0.483691,0.280393,2.54992,1.4141,0.195484,0.967803
"324",0.359157,0.334563,1.1432,1.54227,0.154018,0.989355
"325",0.364072,0.367175,1.03599,1.84303,0.155168,0.98428
"326",0.336825,0.447286,0.958335,2.52185,0.160937,0.97977
"327",0.335075,0.385784,0.975326,2.83322,0.153953,0.9741
"328",0.422394,0.264572,1.37858,1.67378,0.157156,0.93975
"329",0.387626,0.388044,1.22846,0.986316,0.148106,0.81677
"330",0.464181,0.292942,0.825687,0.689756,0.167337,0.942567
"331",0.367396,0.216686,0.502773,1.96819,0.165616,0.900103
"332",0.375279,0.364561,0.43414,1.84015,0.173551,0.919632
"333",0.329564,0.421574,0.463147,2.04528,0.177853,0.960256
"334",0.417798,0.277857,2.99661,2.26974,0.145555,0.903582
"335",0.390715,0.35283,0.915735,2.92825,0.13782,0.990023
"336",0.359789,0.379907,0.840833,2.30537,0.161027,0.979922
"337",0.351039,0.199215,0.90328,3.9759,0.128342,0.90462
"338",0.449423,0.575829,2.44111,0.770828,0.157385,0.994714
"339",0.4024,0.633925,2.21353,2.54799,0.148916,0.884344
"340",0.424629,0.405503,1.75154,1.80127,0.180299,0.962423
"341",0.428571,0.34061,1.63353,1.91669,0.170411,0.953788
"342",0.428571,0.34061,1.63353,1.91669,0.170411,0.953788
